Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Dominica,DMA,..,..,10.2080097198486,12.6981000900269,9.78391265869141,8.44583606719971,8.29829978942871,10.6661701202393,7.76732730865479,9.35660457611084,6.41283702850342,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Dominican Republic,DOM,..,13.399040222168,..,19.5591907501221,20.1564598083496,19.4849300384521,20.008768081665,20.6340427398682,19.5941772460938,22.3626346588135,22.0254058837891,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Ecuador,ECU,..,4.95730018615723,11.572790145874,..,..,..,10.6745500564575,10.5891103744507,9.75601005554199,9.2932596206665,9.69493961334229,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,"Egypt, Arab Rep.",EGY,..,..,12,..,..,..,..,..,..,..,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,El Salvador,SLV,..,..,17.2139701843262,16.1627292633057,8.59762096405029,14.7846651077271,14.3310699462891,11.8684911727905,11.9613590240479,..,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Equatorial Guinea,GNQ,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Eritrea,ERI,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Estonia,EST,..,17.620044708252,14.9788484573364,14.3647565841675,14.4936990737915,15.8006401062012,15.525013923645,14.2844390869141,14.251974105835,..,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Eswatini,SWZ,23.47705078125,18.745080947876,16.4153881072998,16.55491065979,18.6662750244141,17.2210121154785,18.5068969726562,15.8905391693115,15.3408699035645,16.6209316253662,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Ethiopia,ETH,..,14.9077301025391,23.6640396118164,23.0133628845215,23.3241710662842,22.991756439209,20.9222030639648,22.4477195739746,23.5620422363281,23.0064029693604,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
