country,year,gdp_per_capita,total_score,gov_exp_edu,gov_effectiveness,rd_exp_gdp
Canada,2021,52886.6616372703,632.3,4.74860000610352,94.2857131958008,1.86431002616882
Canada,2022,56256.8007264015,700.4,4.13957166671753,94.3396224975586,1.71166002750397
Chile,2017,14879.9086227187,101.4,5.43278980255127,76.6666641235352,0.356790006160736
Chile,2018,15659.4808675628,103.8,5.473060131073,77.6190490722656,0.369159996509552
Chile,2019,14495.716721687,95.5,5.62630987167358,77.6190490722656,0.342429995536804
Chile,2020,13114.815470545,98.4,5.62993001937866,74.2857131958008,0.335249990224838
Chile,2021,16206.8325493421,99.4,4.99923992156982,70.0,0.360410004854202
Chile,2022,15405.6165774073,99.6,4.99923992156982,69.3396224975586,0.360410004854202
Colombia,2017,6479.53231292429,77.4,3.5112099647522,48.0952377319336,0.261090010404587
Colombia,2018,6816.96818309544,81.5,3.5112099647522,48.0952377319336,0.312330007553101
Colombia,2019,6472.54544924705,72.0,3.5112099647522,53.8095245361328,0.322010010480881
Colombia,2020,5339.68711357943,77.1,3.5112099647522,52.3809509277344,0.289400011301041
Colombia,2021,6222.62164397614,76.5,3.5112099647522,50.476188659668,0.289400011301041
Colombia,2022,6680.44506854481,77.2,3.5112099647522,52.8301887512207,0.289400011301041
Denmark,2017,57521.5514992225,191.5,7.11585998535156,95.7142868041992,2.93124008178711
Denmark,2018,61324.7665045565,189.2,7.29690980911255,96.6666641235352,2.96602988243103
Denmark,2019,59404.2663247723,171.3,7.25505018234253,98.5714263916016,2.89685010910034
Denmark,2020,60985.4885601514,172.2,7.38354015350342,97.6190490722656,2.97257995605469
Denmark,2021,69727.9873677012,174.4,6.99992990493774,98.5714263916016,2.76142001152039
Denmark,2022,68091.3191138669,175.6,5.29643440246582,98.5849075317383,2.89051008224487
Estonia,2021,27953.7670230126,35.0,5.2632098197937,88.5714263916016,1.76766002178192
Estonia,2022,28451.1477825175,34.7,5.2632098197937,89.6226425170898,1.78205001354218
Finland,2017,46085.0174739036,164.5,6.36311006546021,99.0476226806641,2.72786998748779
Finland,2018,49654.2497035329,159.2,6.27557992935181,99.523811340332,2.75748991966248
Finland,2019,48358.1807773701,144.0,6.41695022583008,99.523811340332,2.79960989952087
Finland,2020,48828.6846862799,145.7,6.6349401473999,98.5714263916016,2.91243004798889
Finland,2021,53099.1351400148,146.0,6.53825998306274,98.0952377319336,2.98850011825562
Finland,2022,50440.560224974,150.4,6.53825998306274,96.698112487793,2.96468997001648
France,2017,38687.1626407164,664.6,5.45160007476807,87.1428604125977,2.1988799571991
